data,ticker,setor,preco_fechamento,volume,retorno_acumulado
2024-01-02,PETR4,Energia,36.5,2465047,0.0
2024-01-03,PETR4,Energia,35.64,1980731,-2.37
2024-01-04,PETR4,Energia,35.9,3759808,-1.65
2024-01-05,PETR4,Energia,35.37,830283,-3.08
2024-01-08,PETR4,Energia,34.49,2599137,-5.51
2024-01-09,PETR4,Energia,35.36,2804236,-3.13
2024-01-10,PETR4,Energia,36.97,1525533,1.29
2024-01-11,PETR4,Energia,37.28,4871284,2.15
2024-01-12,PETR4,Energia,36.78,1849506,0.76
2024-01-15,PETR4,Energia,37.1,3737290,1.65
2024-01-16,PETR4,Energia,38.46,13149426,5.38
2024-01-17,PETR4,Energia,38.53,1460803,5.56
2024-01-18,PETR4,Energia,39.3,3035007,7.68
2024-01-19,PETR4,Energia,38.21,2666480,4.68
2024-01-22,PETR4,Energia,37.41,2419364,2.49
2024-01-23,PETR4,Energia,37.58,4780833,2.97
2024-01-24,PETR4,Energia,37.19,5683993,1.9
2024-01-25,PETR4,Energia,36.14,4808131,-0.98
2024-01-26,PETR4,Energia,36.55,2276911,0.14
2024-01-29,PETR4,Energia,35.51,11038768,-2.71
2024-01-30,PETR4,Energia,37.6,1349005,3.0
2024-01-31,PETR4,Energia,37.97,1950673,4.02
2024-02-01,PETR4,Energia,38.08,3558553,4.32
2024-02-02,PETR4,Energia,37.68,3418447,3.24
2024-02-05,PETR4,Energia,37.37,4172483,2.37
2024-02-06,PETR4,Energia,37.13,7203424,1.72
2024-02-07,PETR4,Energia,36.73,3078874,0.62
2024-02-08,PETR4,Energia,37.51,3460296,2.78
2024-02-09,PETR4,Energia,36.94,2428397,1.2
2024-02-12,PETR4,Energia,36.42,4387035,-0.22
2024-02-13,PETR4,Energia,35.93,2787792,-1.55
2024-02-14,PETR4,Energia,37.46,2786986,2.62
2024-02-15,PETR4,Energia,38.45,4289760,5.34
2024-02-16,PETR4,Energia,38.18,5484631,4.62
2024-02-19,PETR4,Energia,39.02,1083759,6.91
2024-02-20,PETR4,Energia,38.0,3915247,4.11
2024-02-21,PETR4,Energia,38.72,2855902,6.1
2024-02-22,PETR4,Energia,38.12,5250366,4.45
2024-02-23,PETR4,Energia,37.02,2884720,1.42
2024-02-26,PETR4,Energia,35.99,6265232,-1.4
2024-02-27,PETR4,Energia,35.59,2330966,-2.5
2024-02-28,PETR4,Energia,35.27,1071783,-3.36
2024-02-29,PETR4,Energia,35.97,5530542,-1.44
2024-03-01,PETR4,Energia,36.85,2144093,0.97
2024-03-04,PETR4,Energia,35.88,1483439,-1.69
2024-03-05,PETR4,Energia,35.31,3295362,-3.25
2024-03-06,PETR4,Energia,35.29,2900549,-3.32
2024-03-07,PETR4,Energia,35.81,4933466,-1.89
2024-03-08,PETR4,Energia,36.59,5107422,0.25
2024-03-11,PETR4,Energia,35.44,3429106,-2.9
2024-03-12,PETR4,Energia,36.22,2100302,-0.77
2024-03-13,PETR4,Energia,35.91,3773338,-1.62
2024-03-14,PETR4,Energia,36.16,3550493,-0.94
2024-03-15,PETR4,Energia,36.3,4344704,-0.56
2024-03-18,PETR4,Energia,36.42,2110840,-0.22
